region_id,country_id
1633,122
1634,122
1635,122
1636,123
1637,123
1638,123
1639,123
1640,123
1641,123
1642,123
1643,123
1644,123
1645,123
1646,123
1647,123
1648,123
1651,126
1652,126
1653,126
1654,126
1655,126
1656,126
1657,126
1658,126
1659,126
1660,126
1661,126
1662,126
1663,126
1664,126
1665,126
1666,126
1667,126
1668,126
1669,126
1670,126
1671,126
1672,126
1673,126
1674,126
1675,126
1676,126
1677,126
1678,126
1679,126
1680,126
1681,126
1682,126
1683,126
1684,126
1685,126
1686,126
1687,126
1688,126
1689,126
1690,126
1691,126
1692,126
1693,126
1694,126
1695,126
1696,126
1697,126
40235,128
40236,128
40237,128
40238,128
40239,128
40240,128
40241,128
40242,128
40243,128
40244,128
40245,128
40274,128
1701,130
1702,130
1703,130
1704,130
1705,130
1706,130
1707,130
1708,130
1709,130
1710,130
1711,130
1712,130
900748,130
900749,130
900750,130
900751,130
900752,130
900753,130
900754,130
900755,130
900756,130
900757,130
900758,130
900759,130
900760,130
1714,132
1715,132
1716,132
1717,132
1718,132
1719,132
1720,132
1721,132
1723,132
1724,132
1725,132
1726,132
1727,132
1728,132
1729,132
37157,132
51325,133
51326,133
51327,133
51328,133
51329,133
51330,133
51331,133
51332,133
1739,135
1740,136
1741,137
1742,137
1743,137
1744,137
1745,137
1746,138
1747,138
1748,138
1749,138
1750,138
1751,138
1752,138
900006,138
901034,138
901035,138
901036,138
901037,138
901038,138
901039,138
901040,138
901041,138
901042,138
1753,139
1754,139
1755,139
1756,139
1757,139
1758,139
1759,139
1760,139
1761,139
1762,139
1763,139
1764,139
1765,139
1766,139
1767,139
1768,139
1770,139
900620,139
900621,139
900622,139
900623,139
900624,139
900625,139
900626,139
900627,139
900628,139
900629,139
900630,139
900631,139
900632,139
900633,139
900634,139
900635,139
900636,139
900637,139
1771,140
1772,140
1773,140
1774,140
1775,140
1776,140
1777,140
1778,140
1779,140
1780,140
1781,140
1782,140
1783,140
1784,140
1785,140
1786,140
1787,140
1788,140
1789,140
1790,140
1791,140
1792,140
1793,140
1794,140
1795,140
1796,140
1797,141
1798,141
1799,141
1800,141
1801,141
1802,141
900940,141
900941,141
900942,141
900943,141
900944,141
900945,141
900946,141
900947,141
1803,142
1804,142
1805,142
1806,142
1807,142
1808,142
1809,142
1810,142
1811,142
1812,142
900903,142
900904,142
900905,142
900906,142
900907,142
900908,142
900909,142
900910,142
900911,142
900912,142
1814,144
1815,144
1816,144
1817,144
1818,144
1819,144
1820,144
1821,144
1822,144
1823,144
1824,144
1825,144
1826,144
1827,144
1828,144
900818,144
900819,144
900820,144
900821,144
900822,144
900823,144
900824,144
900825,144
900826,144
900827,144
900828,144
900829,144
900830,144
900831,144
900832,144
1829,145
1830,145
1831,145
1832,145
1833,145
1834,145
1835,145
1836,145
1837,145
1838,145
1839,145
1840,145
1841,145
1842,145
1843,145
1844,145
1845,145
1846,145
1847,145
1848,145
1849,145
1850,145
1851,145
1852,145
1853,145
900169,145
900170,145
900171,145
1854,146
1855,146
1856,146
1857,146
1859,146
1860,146
1861,146
1862,146
1863,146
1864,146
1865,146
1866,147
1867,147
1868,147
1869,147
1870,147
1871,147
1872,147
1873,147
1874,147
1875,147
1876,148
1877,148
1878,148
1879,149
1881,150
899979,150
899980,150
899981,150
899982,150
899983,150
899984,150
899985,150
899986,150
899987,150
899988,150
899989,150
899990,150
899991,150
899992,150
434,12
435,12
436,12
437,12
438,12
439,12
440,12
441,12
442,12
443,12
444,12
445,12
446,12
447,12
448,12
449,12
450,12
451,12
452,12
453,13
454,13
455,13
456,13
457,13
458,13
460,13
461,13
462,13
463,13
464,13
900833,13
900834,13
900835,13
900836,13
900837,13
900838,13
900839,13
900840,13
900841,13
900842,13
900843,13
465,14
70036,15
70037,15
900005,15
467,16
468,17
470,17
471,17
472,17
473,17
474,17
475,17
476,17
477,17
478,18
479,18
480,18
481,18
482,18
483,18
484,18
485,18
486,18
493,19
516,19
528,19
534,19
536,19
541,19
558,19
147298,19
147299,19
147302,19
147306,19
561,20
562,21
563,21
564,21
565,21
566,21
567,21
568,21
569,21
570,21
571,21
572,21
573,21
575,23
576,23
577,23
578,23
579,23
580,23
61363,23
900396,23
900397,23
900398,23
900399,23
900400,23
900401,23
900402,23
900403,23
900404,23
581,24
582,24
583,24
584,24
585,24
586,24
587,24
588,24
589,24
590,24
591,24
593,26
594,26
595,26
596,26
597,26
598,26
599,26
600,27
601,27
602,27
603,28
604,28
605,28
606,28
607,28
608,28
609,29
610,29
611,29
612,29
613,29
614,29
615,29
616,29
617,29
618,29
619,29
620,29
621,30
622,31
623,31
624,31
625,31
626,31
627,31
628,31
629,31
630,31
631,31
632,31
633,31
634,31
635,31
636,31
637,31
638,31
639,31
640,31
641,31
648,33
40443,33
40444,33
40445,33
40446,33
40447,33
40448,33
40449,33
40450,33
901145,33
901146,33
901147,33
901148,33
901149,33
901150,33
901151,33
901152,33
901153,33
901154,33
901155,33
652,34
653,34
654,35
655,35
656,35
657,35
658,35
659,35
660,35
661,35
662,35
663,35
665,37
666,37
667,37
668,37
899993,150
899994,150
899995,150
899996,150
899997,150
899998,150
899999,150
1886,151
1887,151
1888,152
1889,152
1890,152
65268,152
1891,153
1892,153
1893,153
1894,153
1895,153
1896,153
1897,153
1898,153
1899,153
1900,153
1901,153
1902,153
1903,153
1904,153
37336,153
1905,154
1906,154
1907,154
1908,154
1909,154
1910,154
1911,154
1913,154
1914,154
1915,154
1916,154
1917,154
1918,154
1919,154
1920,154
1921,154
1922,154
1923,154
1924,154
1925,154
1926,155
1927,155
1928,155
1929,155
1930,155
1931,155
1932,155
1933,155
1934,155
1935,156
1936,156
1937,156
1938,156
1939,156
1940,156
1941,156
1942,156
1943,156
1944,156
1945,156
1946,156
1947,156
1948,156
1949,156
1950,156
1951,156
1952,156
1953,156
1954,156
1955,156
1956,156
1957,156
1958,156
1959,156
1960,156
1961,156
1962,156
1963,156
1964,156
1965,156
1966,156
1967,156
1968,156
1969,156
1970,156
1971,156
1972,156
1973,156
1974,156
1975,156
1976,156
1977,156
1978,156
1979,156
1980,156
1981,156
1982,156
1983,156
1984,156
1985,156
1986,156
1987,156
1988,156
1989,156
1990,156
1992,156
1993,156
1994,156
1995,156
1996,156
1997,156
1998,156
1999,156
2000,156
2001,156
2002,157
61297,158
61298,158
61299,158
61300,158
2004,159
2005,159
2006,159
2007,159
2008,159
2009,159
2010,159
2011,159
2012,159
2013,159
2014,159
2015,159
2016,159
2017,160
2018,160
2019,160
2020,160
2021,160
2022,160
2023,160
2024,160
2025,160
2026,160
2027,161
2028,162
2029,162
2030,162
2031,162
2032,162
2033,162
2034,162
2035,162
2036,162
2037,162
2038,162
2039,162
2040,162
2041,162
2042,162
2043,162
2044,162
2045,162
2046,162
2047,162
2048,162
2049,162
2050,162
2051,162
2052,162
2053,162
2054,162
2055,162
2056,162
2057,162
2058,162
2059,162
2060,163
2062,165
2063,165
2064,165
2066,165
2067,165
2068,165
2069,165
2070,165
2071,165
2072,165
2073,165
2074,166
2075,167
2076,167
2077,167
2078,167
2079,167
2081,167
2082,167
2083,167
2084,167
2085,167
2086,167
2087,167
2088,167
2089,167
2090,167
2091,167
2092,167
2093,167
2094,167
2095,167
2096,167
2097,167
2099,168
2101,168
2102,168
2103,168
2107,169
2109,169
2111,169
147326,169
147327,169
147328,169
147329,169
147330,169
147331,169
147332,169
147334,169
147335,169
147336,169
147337,169
147338,169
2112,170
2113,170
2114,170
2115,170
2116,170
2118,170
2119,170
2120,170
2121,170
2122,170
65246,170
900948,170
900949,170
900950,170
900951,170
900952,170
900953,170
900954,170
900955,170
900956,170
900957,170
900958,170
2123,171
2125,171
2126,171
2127,171
2128,171
2129,171
2130,171
2131,171
2132,171
2133,171
2135,171
2136,171
41772,171
41773,171
41774,171
41775,171
41776,171
2137,172
2138,172
2139,172
2140,172
2141,172
2142,172
2143,172
2144,172
2145,172
2146,172
2147,172
2148,172
2149,172
900789,172
900790,172
900791,172
900792,172
900793,172
900794,172
900795,172
900796,172
900797,172
900798,172
900799,172
900800,172
900801,172
900802,172
2150,173
2152,175
2153,175
2154,175
2155,175
2156,175
900611,175
900612,175
900613,175
900614,175
900615,175
900616,175
900617,175
2157,176
2158,177
2159,177
2160,177
2161,177
2162,177
2163,177
2164,177
2165,177
